PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SALARY,performance_score,availability,risk_adj_performance,value_per_million,expected_performance,alpha
1631100,AJ Griffin,AJ,1610612737,ATL,19.0,72,34,38,0.472,19.5,3.4,7.4,0.465,1.4,3.6,0.39,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.6,0.2,0.3,1.2,0.6,8.9,0.9,14.6,0,0,14.9,102,149,69,326,260,208,199,240,148,166,117,365,403,61,327,372,377,339,382,256,372,268,394,422,217,169,287,253,39,273,1,3536160,14.419999999999998,0.8780487804878049,12.661463414634145,3.5805685870079818,13.513250009261458,-0.8517865946273133
203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,68,45,23,0.662,30.2,6.3,11.2,0.564,0.9,2.5,0.347,2.8,4.6,0.608,2.4,4.1,6.6,3.0,1.4,0.8,0.8,1.0,1.9,3.6,16.3,7.6,31.8,11,0,29.8,133,35,303,64,107,75,106,68,244,244,259,72,48,455,24,90,56,121,144,151,65,32,205,58,82,4,77,56,39,89,1,20690909,31.419999999999995,0.8292682926829268,26.055609756097557,1.2592781571895926,22.727662109947467,3.32794764615009
1628988,Aaron Holiday,Aaron,1610612737,ATL,26.0,63,32,31,0.508,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.6,0.2,0.3,1.3,0.8,3.9,0.3,9.2,0,0,8.6,189,178,164,255,383,418,401,399,325,359,66,416,434,129,378,486,477,260,387,251,345,315,377,356,415,212,413,253,39,416,1,1968175,8.939999999999998,0.7682926829268293,6.868536585365852,3.4897997309008866,12.671030752209422,-5.8024941668435694
1630174,Aaron Nesmith,Aaron,1610612754,IND,23.0,73,30,43,0.411,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.6,1.9,0.838,0.8,2.9,3.8,1.3,1.0,0.8,0.5,0.6,3.2,1.9,10.1,-2.9,19.3,1,0,19.3,92,207,37,402,179,207,172,372,124,126,196,152,179,140,207,189,202,275,221,167,146,101,17,150,174,453,211,192,39,198,1,3804360,19.009999999999998,0.8902439024390244,16.923536585365852,4.448458238801232,13.65730955367123,3.2662270316946227
1630598,Aaron Wiggins,Aaron,1610612760,OKC,24.0,70,37,33,0.529,18.5,2.7,5.2,0.512,0.7,1.7,0.393,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.8,0.6,0.2,0.5,1.6,0.9,6.8,0.1,13.7,1,0,13.2,116,110,138,220,284,270,299,126,297,325,105,286,310,156,170,315,273,322,303,270,324,171,296,331,283,225,305,192,39,305,1,1563518,13.249999999999996,0.8536585365853658,11.310975609756094,7.234311091881318,12.45367540894982,-1.1426997991937267
201143,Al Horford,Al,1610612738,BOS,37.0,63,44,19,0.698,30.5,3.6,7.6,0.476,2.3,5.2,0.446,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.6,0.5,1.0,0.1,1.9,0.5,9.8,4.9,25.5,7,0,24.2,189,40,346,33,97,188,189,214,48,81,28,472,473,354,133,60,67,119,378,314,36,439,197,428,185,23,131,86,39,136,1,26500000,25.340000000000003,0.7682926829268293,19.468536585365857,0.7346617579383342,25.847926848556362,-6.379390263190505
202692,Alec Burks,Alec,1610612765,DET,31.0,51,12,39,0.235,22.0,3.9,9.0,0.436,1.9,4.7,0.414,3.0,3.7,0.814,0.4,2.7,3.1,2.2,1.1,0.7,0.2,0.3,1.9,2.7,12.8,-0.1,21.4,0,0,21.9,292,404,60,495,220,163,148,340,85,104,57,65,71,182,386,209,263,175,195,172,389,304,196,90,124,255,179,253,39,162,1,10012800,20.870000000000005,0.6219512195121951,12.980121951219514,1.2963528634567267,16.99207852419846,-4.0119565729789475
1627936,Alex Caruso,Alex,1610612741,CHI,29.0,67,33,34,0.493,23.5,1.9,4.3,0.455,0.8,2.3,0.364,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.1,1.5,0.7,0.2,2.4,1.6,5.6,3.0,18.7,1,0,16.5,145,162,121,292,197,356,352,269,260,283,207,278,299,193,285,270,285,126,193,18,76,343,101,199,339,57,221,192,39,242,1,9030000,18.380000000000003,0.8170731707317073,15.017804878048782,1.6631013153985363,16.46418247555594,-1.4463775975071584
1629599,Amir Coffey,Amir,1610612746,LAC,26.0,50,26,24,0.52,12.5,1.1,2.9,0.386,0.2,0.8,0.275,1.0,1.3,0.778,0.3,0.7,1.1,1.1,0.4,0.1,0.1,0.3,1.0,0.9,3.4,-2.3,6.6,0,0,6.3,294,253,285,234,403,462,440,467,424,421,412,257,265,236,403,496,483,334,441,494,446,259,433,321,439,432,468,253,39,464,1,3395062,6.369999999999999,0.6097560975609756,3.884146341463414,1.144057558142801,13.437461367959706,-9.553315026496293
203083,Andre Drummond,Andre,1610612741,CHI,29.0,67,32,35,0.478,12.7,2.5,4.1,0.606,0.0,0.0,0.0,1.0,1.9,0.536,2.1,4.6,6.6,0.5,1.1,0.7,0.4,0.4,1.7,1.6,6.0,0.4,16.8,8,0,15.2,145,178,100,319,397,286,359,48,492,509,492,248,194,479,42,72,55,472,200,204,181,198,245,191,324,204,244,80,39,265,1,3200000,16.319999999999997,0.8170731707317073,13.33463414634146,4.1670731707317055,13.332686786111612,0.001947360229847206
